atomic_deliverable_id,skill_num,skill_name,skill_level,title,body
S1-P-01,1,Data Acquisition,Proficient,Acquires relevant data correctly (with minor issues),"## Atomic Deliverable
- **ID:** S1-P-01
- **Skill:** 1 — Data Acquisition
- **Level:** Proficient
## Rubric Requirement (verbatim)
Acquires relevant data correctly (with minor issues)
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-P-02,1,Data Acquisition,Proficient,Imports data into R/Python correctly (with minor issues),"## Atomic Deliverable
- **ID:** S1-P-02
- **Skill:** 1 — Data Acquisition
- **Level:** Proficient
## Rubric Requirement (verbatim)
Imports data into R/Python correctly (with minor issues)
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-P-03,1,Data Acquisition,Proficient,Demonstrates general understanding of data structures used,"## Atomic Deliverable
- **ID:** S1-P-03
- **Skill:** 1 — Data Acquisition
- **Level:** Proficient
## Rubric Requirement (verbatim)
Demonstrates general understanding of data structures used
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-P-04,1,Data Acquisition,Proficient,Demonstrates general understanding of data objects used,"## Atomic Deliverable
- **ID:** S1-P-04
- **Skill:** 1 — Data Acquisition
- **Level:** Proficient
## Rubric Requirement (verbatim)
Demonstrates general understanding of data objects used
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-M-01,1,Data Acquisition,Mastery,Selects appropriate data sources,"## Atomic Deliverable
- **ID:** S1-M-01
- **Skill:** 1 — Data Acquisition
- **Level:** Mastery
## Rubric Requirement (verbatim)
Selects appropriate data sources
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-M-02,1,Data Acquisition,Mastery,Acquires data correctly without error,"## Atomic Deliverable
- **ID:** S1-M-02
- **Skill:** 1 — Data Acquisition
- **Level:** Mastery
## Rubric Requirement (verbatim)
Acquires data correctly without error
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-M-03,1,Data Acquisition,Mastery,Imports data into R/Python without error,"## Atomic Deliverable
- **ID:** S1-M-03
- **Skill:** 1 — Data Acquisition
- **Level:** Mastery
## Rubric Requirement (verbatim)
Imports data into R/Python without error
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-M-04,1,Data Acquisition,Mastery,Clearly explains data formats,"## Atomic Deliverable
- **ID:** S1-M-04
- **Skill:** 1 — Data Acquisition
- **Level:** Mastery
## Rubric Requirement (verbatim)
Clearly explains data formats
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-M-05,1,Data Acquisition,Mastery,Clearly explains data structures,"## Atomic Deliverable
- **ID:** S1-M-05
- **Skill:** 1 — Data Acquisition
- **Level:** Mastery
## Rubric Requirement (verbatim)
Clearly explains data structures
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
S1-M-06,1,Data Acquisition,Mastery,Clearly explains data objects used,"## Atomic Deliverable
- **ID:** S1-M-06
- **Skill:** 1 — Data Acquisition
- **Level:** Mastery
## Rubric Requirement (verbatim)
Clearly explains data objects used
## Definition of Done (evidence-based)
This Epic is satisfied when project evidence demonstrates the rubric requirement above.
### Expected Evidence (examples)
- [ ] Notebook cell(s) showing the work (inputs → outputs)
- [ ] Saved artifact(s) in the repo (e.g., data/raw, data/processed, figures)
- [ ] Short written explanation in notebook/README/docs (as applicable)
## Links
- **Tasks:** (to be added)
- **Related Epics:** (optional)
- **Dependencies:** (optional)"
